!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter' StandardConcentration='mM'					
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Compound:Identifiers:kegg.compound
equilibrium constant	R_GND		2.331	dimensionless	
equilibrium constant	R_G6PDH2r		14150	dimensionless	
equilibrium constant	R_ME2		0.2616	dimensionless	
equilibrium constant	R_ARGSL		20560	dimensionless	
equilibrium constant	R_CBPS		1.64e+08	dimensionless	
equilibrium constant	R_GLU5K		2.937e-05	dimensionless	
equilibrium constant	R_IPPS		5377000	dimensionless	
equilibrium constant	R_ACOATA		2.018	dimensionless	
equilibrium constant	R_ACtex		98.08	dimensionless	
equilibrium constant	R_ACALDtex		2.509	dimensionless	
equilibrium constant	R_PSP_L		10.66	dimensionless	
equilibrium constant	R_ADSK		1034000	dimensionless	
equilibrium constant	R_SUCCt2_2pp		2.391	dimensionless	
equilibrium constant	R_HSDy		0.1013	dimensionless	
equilibrium constant	R_CYSTL		610.4	dimensionless	
equilibrium constant	R_SHSL1		1.563e+13	dimensionless	
equilibrium constant	R_SULabcpp		6512000	dimensionless	
equilibrium constant	R_GLUtex		262.3	dimensionless	
equilibrium constant	R_AKGt2rpp		401.8	dimensionless	
equilibrium constant	R_XYLt2pp		0.01607	dimensionless	
equilibrium constant	R_GLYCtex		1.296	dimensionless	
equilibrium constant	R_Htex		5.175e+09	dimensionless	
equilibrium constant	R_H2Otex		1373	dimensionless	
equilibrium constant	R_O2tpp		2.752e-08	dimensionless	
equilibrium constant	R_PYRt2rpp		1.653	dimensionless	
equilibrium constant	R_THD2pp		0.5192	dimensionless	
equilibrium constant	R_TKT2		169.1	dimensionless	
equilibrium constant	R_ATPS4rpp		1.168e-13	dimensionless	
equilibrium constant	R_CO2tpp		28930000	dimensionless	
equilibrium constant	R_GK1		0.9961	dimensionless	
equilibrium constant	R_GLCNtex		0.2651	dimensionless	
equilibrium constant	R_GLNtex		34280	dimensionless	
equilibrium constant	R_O2tex		3.067e-08	dimensionless	
equilibrium constant	R_D_LACtex		0.6048	dimensionless	
equilibrium constant	R_GLCtex_copy1		6.764	dimensionless	
equilibrium constant	R_FUMt2_2pp		3.502	dimensionless	
