!!SBtab TableID='Parameter' TableType='Quantity' TableName='Parameter'						
!QuantityType	!Reaction	!Compound	!Mode	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
equilibrium constant	R_GLUPRT		2.68e+16	dimensionless	R01072	
equilibrium constant	R_SERAT		16.82	dimensionless	R00586	
equilibrium constant	R_CYSS		2.568e+11	dimensionless	R00897	
equilibrium constant	R_BPNT		7928	dimensionless	R00188	
equilibrium constant	R_PAPSR		1.164e+16	dimensionless	R02021	
equilibrium constant	R_ASPK		0.0002307	dimensionless	R00480	
equilibrium constant	R_ASAD		24070	dimensionless	R02291	
equilibrium constant	R_DAPDC		115.8	dimensionless	R00451	
equilibrium constant	R_OCBT		70320000	dimensionless	R01398	
equilibrium constant	R_GARFT		100.5	dimensionless	R04325	
equilibrium constant	R_PHETA1		0.6807	dimensionless	R00694	
equilibrium constant	R_PPND		5.471e+08	dimensionless	R01728	
equilibrium constant	R_PRAMPC		1.139e+10	dimensionless	R04037	
equilibrium constant	R_GLYCK2		66240	dimensionless	R08572	
equilibrium constant	R_ACOTA		5.646	dimensionless	R02283	
equilibrium constant	R_SULR		3514	dimensionless	R00858	
equilibrium constant	R_PRAGSr		6814000	dimensionless	R04144	
equilibrium constant	R_PRFGS		151600	dimensionless		
equilibrium constant	R_PSERT		34.85	dimensionless	R04173	
equilibrium constant	R_AIRC2		7.814e+12	dimensionless		
equilibrium constant	R_GAPD		0.0902	dimensionless	R01061	
equilibrium constant	R_GND		3.276	dimensionless	R01528	
equilibrium constant	R_G6PDH2r		14050	dimensionless	R00835	
equilibrium constant	R_ME2		0.7965	dimensionless	R00216	
equilibrium constant	R_ARGSL		18730	dimensionless	R01086	
equilibrium constant	R_CBPS		1.442e+11	dimensionless	R00575	
equilibrium constant	R_GLU5K		4.236e-05	dimensionless	R00239	
equilibrium constant	R_IPPS		5.851e+09	dimensionless	R01213	
equilibrium constant	R_ACOATA		1.96	dimensionless	R01624	
equilibrium constant	R_ACtex		112.4	dimensionless		
equilibrium constant	R_ACALDtex		1.706	dimensionless		
equilibrium constant	R_PSP_L		27760	dimensionless	R00582	
equilibrium constant	R_ADSK		2552000	dimensionless	R00509	
equilibrium constant	R_SUCCt2_2pp		4.064	dimensionless		
equilibrium constant	R_HSDy		0.1417	dimensionless	R01775	
equilibrium constant	R_CYSTL		785400	dimensionless	R01286	
equilibrium constant	R_SHSL1		1.726e+13	dimensionless	R03260	
equilibrium constant	R_SULabcpp		2.233e+09	dimensionless		
equilibrium constant	R_GLUtex		78.44	dimensionless		
equilibrium constant	R_AKGt2rpp		168.5	dimensionless		
equilibrium constant	R_XYLt2pp		0.02746	dimensionless		
equilibrium constant	R_GLYCtex		1.033	dimensionless		
equilibrium constant	R_Htex		3.784e+09	dimensionless		
equilibrium constant	R_H2Otex		148.8	dimensionless		
equilibrium constant	R_O2tpp		8.034e-09	dimensionless		
equilibrium constant	R_PYRt2rpp		2.572	dimensionless		
equilibrium constant	R_THD2pp		0.8325	dimensionless		
equilibrium constant	R_TKT2		213.8	dimensionless	R01830	
equilibrium constant	R_ATPS4rpp		1e-15	dimensionless		
equilibrium constant	R_CO2tpp		35910000	dimensionless		
equilibrium constant	R_GK1		0.9915	dimensionless	R00332	
equilibrium constant	R_GLCNtex		0.2725	dimensionless		
equilibrium constant	R_GLNtex		115000	dimensionless		
equilibrium constant	R_O2tex		9.013e-09	dimensionless		
equilibrium constant	R_D_LACtex		0.8356	dimensionless		
equilibrium constant	R_GLCtex_copy1		6.174	dimensionless		
equilibrium constant	R_FUMt2_2pp		2.014	dimensionless		
equilibrium constant	R_PItex		62780	dimensionless		
equilibrium constant	R_CYTBDpp		3.059e+08	dimensionless		
equilibrium constant	R_CYTBD2pp		9.434e+33	dimensionless		
equilibrium constant	R_ACALDtpp		1.68	dimensionless		
equilibrium constant	R_ACt2rpp		233.5	dimensionless		
equilibrium constant	R_METS		491.7	dimensionless	R00946	
equilibrium constant	R_EX_glyc__R_e		758.8	dimensionless		
equilibrium constant	R_FRUtex		4.533	dimensionless		
equilibrium constant	R_FUMtex		3.994	dimensionless		
equilibrium constant	R_PRASCSi		8.795e+15	dimensionless	R04591	
equilibrium constant	R_MTHFC		9192	dimensionless	R01655	
equilibrium constant	R_MTHFD		0.07919	dimensionless	R01220	
equilibrium constant	R_XYLtex		0.0006747	dimensionless		
equilibrium constant	R_FORtppi		1.149	dimensionless		
equilibrium constant	R_PYRtex		3.468	dimensionless		
equilibrium constant	R_SO4tex		6.895	dimensionless		
equilibrium constant	R_SUCCtex		2927	dimensionless		
equilibrium constant	R_GRXR		248.1	dimensionless		
equilibrium constant	R_RNDR1b		25.01	dimensionless		
equilibrium constant	R_RNDR2b		2.764	dimensionless		
equilibrium constant	R_MALt2_2pp		43.52	dimensionless		
equilibrium constant	R_NH4tpp		433.6	dimensionless		
equilibrium constant	R_NH4tex		427.5	dimensionless		
equilibrium constant	R_RIBabcpp		8.848	dimensionless		
equilibrium constant	R_GLYCAt2rpp		0.2065	dimensionless		
equilibrium constant	R_GLYCAtex		0.4956	dimensionless		
equilibrium constant	R_GLYCtpp		17.95	dimensionless		
equilibrium constant	R_H2Otpp		150.1	dimensionless		
equilibrium constant	R_GLNabcpp		3903000	dimensionless		
equilibrium constant	R_CO2tex		33370000	dimensionless		
equilibrium constant	R_GLUt2rpp		146.6	dimensionless		
equilibrium constant	R_ACGK		4.338e-05	dimensionless	R02649	
equilibrium constant	R_GNK		61910	dimensionless	R01737	
equilibrium constant	R_GLUDy		1.513	dimensionless	R00248	
equilibrium constant	R_GLCNt2rpp		0.09509	dimensionless		
equilibrium constant	R_GLCptspp		5.431	dimensionless		
equilibrium constant	R_EX_h2o_e		7.491	dimensionless		
equilibrium constant	R_HSTPT		0.005218	dimensionless	R03243	
equilibrium constant	R_THDPS		0.05424	dimensionless	R04365	
equilibrium constant	R_ATPM		3.504e+09	dimensionless	R00086	
equilibrium constant	R_THRD_L		21120000	dimensionless	R00996	
equilibrium constant	R_ETOHtex		0.2445	dimensionless		
equilibrium constant	R_RNDR2		3140000	dimensionless	R02019	
equilibrium constant	R_DHFR		2.441	dimensionless	R00939	
equilibrium constant	R_PRAIi		326100	dimensionless	R03509	
equilibrium constant	R_EX_mal__L_e		35.19	dimensionless		
equilibrium constant	R_TYRTA		0.5493	dimensionless	R00734	
equilibrium constant	R_SHKK		4.082e+08	dimensionless	R02412	
equilibrium constant	R_EX_so4_e		90.06	dimensionless		
equilibrium constant	R_GLUSy		15770	dimensionless	R00114	
equilibrium constant	R_OMCDC		37.15	dimensionless	R01652	
equilibrium constant	R_IG3PS		2.02e+10	dimensionless	R04558	
equilibrium constant	R_PDH		5215000	dimensionless	R00209	
equilibrium constant	R_MTHFR2		25.15	dimensionless	R07168	
equilibrium constant	R_EX_nh4_e		3.189	dimensionless		
equilibrium constant	R_DUTPDP		5.687e+12	dimensionless	R02100	
equilibrium constant	R_NTP5		1.636e+11	dimensionless	R00569	
equilibrium constant	R_FORt2pp		0.03765	dimensionless		
equilibrium constant	R_EX_etoh_e		1345	dimensionless		
