"!QuantityType	"	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
equilibrium constant		R_DHDPS	dimentionless	2.879247347337883e+22	7.224251109496422e+22		
equilibrium constant		R_IGPDH	dimentionless	17401120.862722054	13687852.231669225		R03457
equilibrium constant		R_PRPPS	dimentionless	1.5335599093461432	1.2496131572727749		
equilibrium constant		R_PRATPP	dimentionless	inf	inf		R04035
equilibrium constant		R_GLUN	dimentionless	326.5635093238336	113.28947882956712		R00256
equilibrium constant		R_PRMICI	dimentionless	51.68353035788446	28.145528835475606		R04640
equilibrium constant		R_GLUPRT	dimentionless	170369316680.21457	186932045732.22412		R01072
equilibrium constant		R_SERAT	dimentionless	13.219409467225603	15.624392795066969		R00586
equilibrium constant		R_CYSS	dimentionless	963189168.6207789	2035946447.5888994		R00897
equilibrium constant		R_BPNT	dimentionless	22.064930918530614	27.859311728519895		R00188
equilibrium constant		R_PAPSR	dimentionless	31358387.57839042	79313065.79931743		R02021
equilibrium constant		R_ASPK	dimentionless	0.00014863187918376594	0.00017567220895862615		R00480
equilibrium constant		R_ASAD	dimentionless	17431.508682227697	11883.52144936055		R02291
equilibrium constant		R_DAPDC	dimentionless	517.2298155597164	778.2441355537483		R00451
equilibrium constant		R_OCBT	dimentionless	204169.19498506567	241313.3284817436		R01398
equilibrium constant		R_GARFT	dimentionless	0.45722776598962483	1.0328662725058084		R04325
equilibrium constant		R_PHETA1	dimentionless	1.0327974350411842	0.8624004399093389		R00694
equilibrium constant		R_PPND	dimentionless	77.36447006456888	352.3375825046319		R01728
equilibrium constant		R_PRAMPC	dimentionless	inf	inf		R04037
equilibrium constant		R_GLYCK2	dimentionless	80.54906311194495	23.069719568164945		R08572
equilibrium constant		R_ACOTA	dimentionless	3.665302432925048	4.98268221014821		R02283
equilibrium constant		R_SULR	dimentionless	1.6530096126236006e+19	3.1273154833419477e+19		R00858
equilibrium constant		R_PRAGSr	dimentionless	58939.56347121826	55159.25262332648		R04144
equilibrium constant		R_PRFGS	dimentionless	7.6026712551321495e-06	0.1478435877359952		
equilibrium constant		R_PSERT	dimentionless	81.20154285630365	12.447190917868248		R04173
equilibrium constant		R_AIRC2	dimentionless	7536634367.925205	18180344300.19876		
equilibrium constant		R_GAPD	dimentionless	0.6262969763977583	0.10358279964626094		R01061
equilibrium constant		R_GND	dimentionless	0.01562418797269849	0.020042322611206618		R01528
equilibrium constant		R_G6PDH2r	dimentionless	15.659994169952844	8.338520493883726		R00835
equilibrium constant		R_ME2	dimentionless	0.007558864579103085	0.009574358522946223		R00216
equilibrium constant		R_ARGSL	dimentionless	48.64898278409976	95.96350375726011		R01086
equilibrium constant		R_CBPS	dimentionless	431.36840150326634	461.1239467461298		R00575
equilibrium constant		R_GLU5K	dimentionless	8.790921253380026e-06	8.156159291155329e-06		R00239
equilibrium constant		R_IPPS	dimentionless	43552.67929328161	23717.675290814917		R01213
equilibrium constant		R_PSP_L	dimentionless	65.57131718124633	7.4061996009475495		R00582
equilibrium constant		R_ADSK	dimentionless	1122.1403219576216	2693.3178360822303		R00509
equilibrium constant		R_HSDy	dimentionless	0.00039293289061563796	0.0002694578112329909		R01775
equilibrium constant		R_CYSTL	dimentionless	0.8075131934042561	0.8827594812930754		R01286
equilibrium constant		R_SHSL1	dimentionless	200201411436.0976	449827293948.7954		R03260
equilibrium constant		R_THD2pp	dimentionless	1.0	0.1371520774505849		
equilibrium constant		R_TKT2	dimentionless	63.74566424143374	49.37138981184057		R01830
equilibrium constant		R_ATPS4rpp	dimentionless	6.417807265799288e-06	7.766608228074975e-07		
equilibrium constant		R_GK1	dimentionless	0.9839939419304334	0.4763181647101735		R00332
equilibrium constant		R_CYTBDpp	dimentionless	2.458774656641694e+16	6.347784510894248e+16		
equilibrium constant		R_CYTBD2pp	dimentionless	1.9742634734063218e+35	4.07754295435271e+35		
equilibrium constant		R_METS	dimentionless	0.9412859850561309	1.9288958467467305		R00946
equilibrium constant		R_PRASCSi	dimentionless	37018409775017.6	77799885005180.2		R04591
equilibrium constant		R_MTHFC	dimentionless	8.725031224253252	3.238010781086322		R01655
equilibrium constant		R_MTHFD	dimentionless	0.07149265594537602	0.032876816368587594		R01220
equilibrium constant		R_ACGK	dimentionless	4.7651646023100434e-05	5.920414269913244e-05		R02649
equilibrium constant		R_GNK	dimentionless	154.83434270110953	200.49142398973845		R01737
equilibrium constant		R_GLUDy	dimentionless	1.3969176370167497e-06	2.0849516970399247e-07		R00248
equilibrium constant		R_HSTPT	dimentionless	0.02838427089167908	0.03354817011400553		R03243
equilibrium constant		R_THDPS	dimentionless	2.7642176720896083e-05	5.798278295629674e-05		R04365
equilibrium constant		R_ATPM	dimentionless	155816.4585790904	18856.3685251017		R00086
equilibrium constant		R_THRD_L	dimentionless	16408.03482096516	27534.257706823344		R00996
equilibrium constant		R_RNDR2	dimentionless	6689264.741705848	8203051.559009995		R02019
equilibrium constant		R_DHFR	dimentionless	1981.8199642150357	1910.669509670809		R00939
equilibrium constant		R_PRAIi	dimentionless	51.892436825679624	28.259293955089756		R03509
equilibrium constant		R_TYRTA	dimentionless	0.8578829454855874	0.7163443715833666		R00734
equilibrium constant		R_SHKK	dimentionless	39216.21162778329	44927.003236347125		R02412
equilibrium constant		R_GLUSy	dimentionless	232833228.36815497	88286903.85884053		R00114
equilibrium constant		R_OMCDC	dimentionless	279.02543561249655	487.36592827838246		R01652
equilibrium constant		R_IG3PS	dimentionless	1.214841065680643e-41	2.936864309776149e-37		R04558
equilibrium constant		R_PDH	dimentionless	992504.7640369381	1289175.207825309		R00209
equilibrium constant		R_MTHFR2	dimentionless	12300261.757951844	20740255.80808338		R07168
equilibrium constant		R_DUTPDP	dimentionless	24321167.115870245	25115848.251967657		R02100
equilibrium constant		R_NTP5	dimentionless	173046.40013473947	161947.41763315673		R00569
equilibrium constant		R_GLNS	dimentionless	479.06844817762004	160.39806857096596		R00253
equilibrium constant		R_ACGS	dimentionless	32053.166963269785	43702.986823659485		R00259
equilibrium constant		R_SUCOAS	dimentionless	1.6292178293238835	0.8740862093589209		R00405
equilibrium constant		R_PRAIS	dimentionless	0.6442338969673789	12527.945438191015		
equilibrium constant		R_HISTP	dimentionless	3585.8539162570155	3153.3527783139552		R03013
equilibrium constant		R_LDH_D	dimentionless	0.0002431325005330756	0.0002030190706347182		R00704
equilibrium constant		R_DHQS	dimentionless	2.168802644344677e+26	5.4766859837021687e+26		R03083
equilibrium constant		R_PGCD	dimentionless	3.955117682975256e-06	8.934513523461652e-07		R01513
equilibrium constant		R_ADSL1r	dimentionless	0.00144021787994977	0.0008017348424085045		R01083
equilibrium constant		R_AICART	dimentionless	0.005838958106982409	0.008832631263083516		R04560
equilibrium constant		R_PFK	dimentionless	1318.6299074436697	356.3864614712621		
equilibrium constant		R_PGM	dimentionless	6.068712234010759	0.881297460364612		R01518
equilibrium constant		R_CYTBO3_4pp	dimentionless	2.458774656641694e+16	6.347784510894248e+16		
equilibrium constant		R_TPI	dimentionless	0.10361810947344918	0.022989092460829794		R01015
equilibrium constant		R_RPI	dimentionless	0.16477960421252477	0.11100521945740878		
equilibrium constant		R_ACONTb	dimentionless	1.922236419881444	0.876211034476011		R01900
equilibrium constant		R_SUCDi	dimentionless	7864851475697.402	20685289076864.484		
equilibrium constant		R_ASNS1	dimentionless	10258388.230882766	15104121.43716099		R00578
equilibrium constant		R_ACONTa	dimentionless	0.03282055502201512	0.014960559570341703		R01325
equilibrium constant		R_NADH16pp	dimentionless	1.2104676322359465e+23	3.032272689062214e+23		
equilibrium constant		R_VPAMTr	dimentionless	1.8838543929570506	2.652138697628119		R01215
