!!SBtab TableID='ParameterEq' TableType='Quantity' TableName='ParameterEq' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
standard Gibbs energy of reaction		R_AKGDH	kJ/mol	-28.21	3.88		R08549
standard Gibbs energy of reaction		R_ATPPRT	kJ/mol	4123.49	100000.0		R01071
standard Gibbs energy of reaction		R_HISTD	kJ/mol	-17.21	2.24		R01158
standard Gibbs energy of reaction		R_DHDPS	kJ/mol	-128.2	6.22		
standard Gibbs energy of reaction		R_IGPDH	kJ/mol	-41.33	1.95		R03457
standard Gibbs energy of reaction		R_PRPPS	kJ/mol	-1.06	2.02		
standard Gibbs energy of reaction		R_PRATPP	kJ/mol	-1818.88	141421.36		R04035
standard Gibbs energy of reaction		R_GLUN	kJ/mol	-14.35	0.86		R00256
standard Gibbs energy of reaction		R_PRMICI	kJ/mol	-9.78	1.35		R04640
standard Gibbs energy of reaction		R_GLUPRT	kJ/mol	-64.11	2.72		R01072
standard Gibbs energy of reaction		R_SERAT	kJ/mol	-6.4	2.93		R00586
standard Gibbs energy of reaction		R_CYSS	kJ/mol	-51.28	5.24		R00897
standard Gibbs energy of reaction		R_BPNT	kJ/mol	-7.67	3.13		R00188
standard Gibbs energy of reaction		R_PAPSR	kJ/mol	-42.79	6.27		R02021
standard Gibbs energy of reaction		R_ASPK	kJ/mol	21.85	2.93		R00480
standard Gibbs energy of reaction		R_ASAD	kJ/mol	-24.21	1.69		R02291
standard Gibbs energy of reaction		R_DAPDC	kJ/mol	-15.49	3.73		R00451
standard Gibbs energy of reaction		R_OCBT	kJ/mol	-30.31	2.93		R01398
standard Gibbs energy of reaction		R_GARFT	kJ/mol	1.94	5.6		R04325
standard Gibbs energy of reaction		R_PHETA1	kJ/mol	-0.08	2.07		R00694
standard Gibbs energy of reaction		R_PPND	kJ/mol	-10.78	11.29		R01728
standard Gibbs energy of reaction		R_PRAMPC	kJ/mol	-2706.78	116582.8		R04037
