!!!SBtab DocumentName='None' SBtabVersion='1.0' Date='2021-3-4'
!!SBtab TableID='Thermodynamics' TableType='Quantity' TableName='Thermodynamics' SBtabVersion='1.0'
reaction_id	reaction_formula	standard_dg_prime_in_kJ_per_mol	dg_sigma_in_kJ_per_mol
R_PRATPP	M_h2o_e + M_prbatp_c <=> M_ppi_c + M_prbamp_c	-42.16	141421.36
R_GLUN	M_h2o_e + M_gln__L_c <=> M_nh4_e + M_glu__L_p	-14.35	0.86
R_PRMICI	M_prfp_c <=> M_prlp_c	-9.78	1.35
R_GLUPRT	M_h2o_e + M_gln__L_c + M_prpp_c <=> M_ppi_c + M_glu__L_p + M_pram_c	-64.11	2.72
R_SERAT	M_accoa_c + M_ser__L_c <=> M_coa_c + M_acser_c	-6.4	2.93
R_CYSS	M_acser_c + M_h2s_c <=> M_ac_p + M_cys__L_c	-51.28	5.24
R_BPNT	M_h2o_e + M_pap_c <=> M_pi_p + M_amp_c	-7.67	3.13
R_PAPSR	M_paps_c + M_trdrd_c <=> M_pap_c + M_trdox_c + M_so3_c	-42.79	6.27
R_ASPK	M_atp_c + M_asp__L_c <=> M_adp_c + M_4pasp_c	21.85	2.93
R_ASAD	M_nadp_c + M_pi_p + M_aspsa_c <=> M_nadph_c + M_4pasp_c	-24.21	1.69
R_DAPDC	M_26dap__M_c <=> M_co2_c + M_lys__L_c	-15.49	3.73
R_OCBT	M_cbp_c + M_orn_c <=> M_pi_p + M_citr__L_c	-30.31	2.93
R_GARFT	M_10fthf_c + M_gar_c <=> M_thf_c + M_fgam_c	1.94	5.6
R_PHETA1	M_akg_p + M_phe__L_c <=> M_glu__L_p + M_phpyr_c	-0.08	2.07
R_PPND	M_nad_c + M_pphn_c <=> M_nadh_c + M_co2_c + M_34hpp_c	-10.78	11.29
R_PRAMPC	M_h2o_e + M_prbamp_c <=> M_prfp_c	-42.16	116582.8
R_GLYCK2	M_atp_c + M_glyc__R_p <=> M_adp_c + M_2pg_c	-10.88	0.71
R_ACOTA	M_akg_p + M_acorn_c <=> M_acg5sa_c + M_glu__L_p	-3.22	3.37
R_SULR	3 M_nadph_c + M_so3_c <=> 3 M_h2o_e + 3 M_nadp_c + M_h2s_c	-109.7	4.69
R_PRAGSr	M_atp_c + M_gly_c + M_pram_c <=> M_adp_c + M_pi_p + M_gar_c	-27.23	2.32
R_PRFGS	M_h2o_e + M_atp_c + M_gln__L_c + M_fgam_c <=> M_adp_c + M_pi_p + M_glu__L_p + M_fpram_c	15.16	48207.3
R_PSERT	M_3php_c + M_glu__L_p <=> M_akg_p + M_pser__L_c	-10.9	0.38
R_AIRC2	M_atp_c + M_hco3_c + M_air_c <=> M_adp_c + M_pi_p + M_5caiz_c	-56.38	5.98
R_GAPD	M_nad_c + M_pi_p + M_g3p_c <=> M_nadh_c + M_13dpg_c	1.16	0.41
R_GND	M_nadp_c + M_6pgc_c <=> M_nadph_c + M_co2_c + M_ru5p__D_c	10.31	3.18
R_G6PDH2r	M_nadp_c + M_g6p_c <=> M_nadph_c + M_6pgl_c	-6.82	1.32
R_ME2	M_nadp_c + M_mal__L_e <=> M_nadph_c + M_co2_c + M_pyr_c	12.11	3.14
R_ARGSL	M_argsuc_c <=> M_arg__L_c + M_fum_e	-9.63	4.89
R_CBPS	M_h2o_e + 2 M_atp_c + M_gln__L_c + M_hco3_c <=> 2 M_adp_c + M_pi_p + M_cbp_c + M_glu__L_p	-15.04	2.65
R_GLU5K	M_atp_c + M_glu__L_p <=> M_adp_c + M_glu5p_c	28.86	2.3
R_IPPS	M_h2o_e + M_accoa_c + M_3mob_c <=> M_coa_c + M_3c3hmp_c	-26.48	1.35
R_PSP_L	M_h2o_e + M_pser__L_c <=> M_pi_p + M_ser__L_c	-10.37	0.28
R_ADSK	M_atp_c + M_aps_c <=> M_adp_c + M_paps_c	-17.41	5.95
R_HSDy	M_nadp_c + M_hom__L_c <=> M_nadph_c + M_aspsa_c	19.44	1.7
R_CYSTL	M_h2o_e + M_cyst__L_c <=> M_nh4_e + M_pyr_c + M_hcys__L_c	0.53	2.71
R_SHSL1	M_cys__L_c + M_suchms_c <=> M_succ_c + M_cyst__L_c	-64.51	5.57
R_THD2pp	M_nadp_c + M_nadh_c <=> M_nadph_c + M_nad_c	0.0	0.34
R_TKT2	M_xu5p__D_c + M_e4p_c <=> M_g3p_c + M_f6p_c	-10.3	1.92
R_ATPS4rpp	M_adp_c + M_pi_p <=> M_h2o_e + M_atp_c	29.64	0.3
R_GK1	M_atp_c + M_gmp_c <=> M_adp_c + M_gdp_c	0.04	1.2
R_CYTBDpp	0.5 M_o2_e + M_q8h2_c <=> M_h2o_e + M_q8_c	-93.56	6.4
R_CYTBD2pp	0.5 M_o2_e + M_mql8_c <=> M_h2o_e + M_mqn8_c	-201.47	5.12
R_METS	M_5mthf_c + M_hcys__L_c <=> M_met__L_c + M_thf_c	0.15	5.08
R_PRASCSi	M_atp_c + M_asp__L_c + M_5aizc_c <=> M_adp_c + M_pi_p + M_25aics_c	-77.45	5.21
R_MTHFC	M_h2o_e + M_methf_c <=> M_10fthf_c	-5.37	0.92
R_MTHFD	M_nadp_c + M_mlthf_c <=> M_nadph_c + M_methf_c	6.54	1.14
R_ACGK	M_atp_c + M_acglu_c <=> M_adp_c + M_acg5p_c	24.67	3.08
R_GNK	M_atp_c + M_glcn_e <=> M_adp_c + M_6pgc_c	-12.5	3.21
R_GLUDy	M_h2o_e + M_nadp_c + M_glu__L_p <=> M_nadph_c + M_nh4_e + M_akg_p	33.42	0.37
R_HSTPT	M_imacp_c + M_glu__L_p <=> M_akg_p + M_hisp_c	8.83	2.93
R_THDPS	M_h2o_e + M_succoa_c + M_thdp_c <=> M_coa_c + M_sl2a6o_c	26.02	5.2
R_ATPM	M_h2o_e + M_atp_c <=> M_adp_c + M_pi_p	-29.64	0.3
R_THRD_L	M_thr__L_c <=> M_nh4_e + M_2obut_c	-24.06	4.16
R_RNDR2	M_gdp_c + M_trdrd_c <=> M_h2o_e + M_trdox_c + M_dgdp_c	-38.96	3.04
R_DHFR	M_nadph_c + M_dhf_c <=> M_nadp_c + M_thf_c	-18.82	2.39
R_PRAIi	M_pran_c <=> M_2cpr5p_c	-9.79	1.35
R_TYRTA	M_akg_p + M_tyr__L_c <=> M_34hpp_c + M_glu__L_p	0.38	2.07
R_SHKK	M_atp_c + M_skm_c <=> M_adp_c + M_skm5p_c	-26.22	2.84
R_GLUSy	M_nadph_c + M_akg_p + M_gln__L_c <=> M_nadp_c + 2 M_glu__L_p	-47.76	0.94
R_OMCDC	M_3c4mop_c <=> M_co2_c + M_4mop_c	-13.96	4.33
R_IG3PS	M_gln__L_c + M_prlp_c <=> M_aicar_c + M_eig3p_c + M_glu__L_p	-42.16	59929.54
R_PDH	M_nad_c + M_coa_c + M_pyr_c <=> M_nadh_c + M_co2_c + M_accoa_c	-34.23	3.22
R_MTHFR2	M_nadh_c + M_mlthf_c <=> M_nad_c + M_5mthf_c	-40.47	4.18
R_DUTPDP	M_h2o_e + M_dutp_c <=> M_ppi_c + M_dump_c	-42.16	2.56
R_NTP5	M_h2o_e + M_ctp_c <=> M_pi_p + M_cdp_c	-29.9	2.32
R_GLNS	M_atp_c + M_nh4_e + M_glu__L_p <=> M_adp_c + M_pi_p + M_gln__L_c	-15.3	0.83
R_ACGS	M_accoa_c + M_glu__L_p <=> M_coa_c + M_acglu_c	-25.72	3.38
R_SUCOAS	M_atp_c + M_coa_c + M_succ_c <=> M_adp_c + M_pi_p + M_succoa_c	-1.21	1.33
R_PRAIS	M_atp_c + M_fpram_c <=> M_adp_c + M_pi_p + M_air_c	15.16	48207.3
R_HISTP	M_h2o_e + M_hisp_c <=> M_pi_p + M_histd_c	-20.29	2.18
R_LDH_D	M_nad_c + M_lac__D_c <=> M_nadh_c + M_pyr_c	20.63	2.07
R_DHQS	M_2dda7p_c <=> M_pi_p + M_3dhq_c	-150.33	6.26
R_PGCD	M_nad_c + M_3pg_c <=> M_nadh_c + M_3php_c	30.84	0.56
R_ADSL1r	M_dcamp_c <=> M_amp_c + M_fum_e	16.22	1.38
R_AICART	M_10fthf_c + M_aicar_c <=> M_thf_c + M_fprica_c	12.75	3.75
R_PFK	M_atp_c + M_f6p_c <=> M_adp_c + M_fdp_c	-17.81	0.67
R_PGM	M_2pg_c <=> M_3pg_c	-4.47	0.36
R_CYTBO3_4pp	0.5 M_o2_e + M_q8h2_c <=> M_h2o_e + M_q8_c	-93.56	6.4
R_TPI	M_dhap_c <=> M_g3p_c	5.62	0.55
R_RPI	M_r5p_c <=> M_ru5p__D_c	4.47	1.67
R_ACONTb	M_h2o_e + M_acon_C_c <=> M_icit_c	-1.62	1.13
R_SUCDi	M_succ_c + M_q8_c <=> M_fum_e + M_q8h2_c	-73.61	6.52
R_ASNS1	M_h2o_e + M_atp_c + M_gln__L_c + M_asp__L_c <=> M_ppi_c + M_amp_c + M_asn__L_c + M_glu__L_p	-40.02	3.65
R_ACONTa	M_cit_c <=> M_h2o_e + M_acon_C_c	8.47	1.13
R_NADH16pp	M_nadh_c + M_q8_c <=> M_nad_c + M_q8h2_c	-131.76	6.21
R_VPAMTr	M_ala__L_c + M_3mob_c <=> M_pyr_c + M_val__L_c	-1.57	3.49

