!!SBtab TableID='ParameterKcat' TableType='Quantity' TableName='ParameterKcat' SBtabVersion='1.0'
!QuantityType	!Compound	!Reaction	!Unit	!Mean	!Std	!Compound:Identifiers:kegg.compound	!Reaction:Identifiers:kegg.reaction
product catalytic rate constant		R_ASNS2	1/s	8.97253368157073	NaN		R00483
product catalytic rate constant		R_ASPCT	1/s	12.1373668119836	NaN		R01397
product catalytic rate constant		R_MCOATA	1/s	1.83257492046749	NaN		R01626
substrate catalytic rate constant		R_MCOATA	1/s	2.62202436101299	NaN		R01626
product catalytic rate constant		R_DAPE	1/s	55.5416508536572	NaN		R02735
substrate catalytic rate constant		R_DAPE	1/s	6.14198615580896	NaN		R02735
product catalytic rate constant		R_DHDPRy	1/s	8.85922216462127	NaN		
product catalytic rate constant		R_HSK	1/s	151.868642334337	NaN		R01771
product catalytic rate constant		R_SDPTA	1/s	4.12005600692011	NaN		R04475
substrate catalytic rate constant		R_SDPTA	1/s	6.69848860758136	NaN		R04475
product catalytic rate constant		R_THRS	1/s	28.6460085431503	NaN		R01466
product catalytic rate constant		R_HSST	1/s	8.53911941823882	NaN		R01777
product catalytic rate constant		R_PPNDH	1/s	17.8653110991477	NaN		R01373
product catalytic rate constant		R_DTMPK	1/s	7.94475986159112	NaN		R02094
substrate catalytic rate constant		R_DTMPK	1/s	3.42168466058422	NaN		R02094
product catalytic rate constant		R_NDPK1	1/s	29.6032129075311	NaN		R00330
substrate catalytic rate constant		R_NDPK1	1/s	3.29259780853089	NaN		R00330
product catalytic rate constant		R_TRDR	1/s	7.08749013158889	NaN		R02016
product catalytic rate constant		R_DDPA	1/s	10.9566616252276	NaN		R01826
product catalytic rate constant		R_MALS	1/s	32.5593334564113	NaN		R00472
product catalytic rate constant		R_NADTRHD	1/s	24.5158574723498	NaN		R00112
product catalytic rate constant		R_G3PD2	1/s	82.3250918856161	NaN		R00844
substrate catalytic rate constant		R_G3PD2	1/s	42.9726094350002	NaN		R00844
product catalytic rate constant		R_GMPS2	1/s	2.39595062156227	NaN		R01231
product catalytic rate constant		R_AACPS3	1/s	1.47061548763832	NaN		
product catalytic rate constant		R_P5CR	1/s	23.6602708992869	NaN		R01251
product catalytic rate constant		R_AKGDH	1/s	40.8831446060835	NaN		R08549
product catalytic rate constant		R_ATPPRT	1/s	3.7544744728258	NaN		R01071
product catalytic rate constant		R_HISTD	1/s	3.1795960845827	NaN		R01158
product catalytic rate constant		R_DHDPS	1/s	7.12621732261443	NaN		
product catalytic rate constant		R_IGPDH	1/s	3.33369150802907	NaN		R03457
product catalytic rate constant		R_PRPPS	1/s	17.0332729614286	NaN		
substrate catalytic rate constant		R_PRPPS	1/s	16.7752872836879	NaN		
product catalytic rate constant		R_PRATPP	1/s	9.31903097116646	NaN		R04035
product catalytic rate constant		R_GLUN	1/s	5.00005103333138	NaN		R00256
product catalytic rate constant		R_PRMICI	1/s	13.4800577512757	NaN		R04640
substrate catalytic rate constant		R_PRMICI	1/s	3.6765234108211	NaN		R04640
product catalytic rate constant		R_GLUPRT	1/s	18.6528441729059	NaN		R01072
product catalytic rate constant		R_SERAT	1/s	21.2156661255808	NaN		R00586
substrate catalytic rate constant		R_SERAT	1/s	6.0437595011504	NaN		R00586
product catalytic rate constant		R_CYSS	1/s	11.8765275886208	NaN		R00897
product catalytic rate constant		R_BPNT	1/s	84.8451257345241	NaN		R00188
product catalytic rate constant		R_PAPSR	1/s	10.1249025294284	NaN		R02021
product catalytic rate constant		R_ASPK	1/s	13.5749408431289	NaN		R00480
substrate catalytic rate constant		R_ASPK	1/s	3.32231556414097	NaN		R00480
product catalytic rate constant		R_ASAD	1/s	3.79101687091351	NaN		R02291
substrate catalytic rate constant		R_ASAD	1/s	18.6337640884861	NaN		R02291
product catalytic rate constant		R_DAPDC	1/s	55.7009974553855	NaN		R00451
product catalytic rate constant		R_OCBT	1/s	11.4368439073993	NaN		R01398
substrate catalytic rate constant		R_OCBT	1/s	3.8902575242417	NaN		R01398
product catalytic rate constant		R_GARFT	1/s	57.1662035523635	NaN		R04325
substrate catalytic rate constant		R_GARFT	1/s	13.4584910957608	NaN		R04325
product catalytic rate constant		R_PHETA1	1/s	4.26968832562401	NaN		R00694
substrate catalytic rate constant		R_PHETA1	1/s	11.5965589399559	NaN		R00694
