!!SBtab TableID='Gibbs_free_energy_constraints' TableType='Quantity' TableName='Gibbs_free_energy_constraints' SBtabVersion='1.0' StandardConcentration='M'
!QuantityType	!Reaction	!Unit	!Min	!Max	!Reaction:Identifiers:kegg.reaction
Gibbs free energy of reaction	R_CYSS	kJ/mol		-0.2479	R00897
Gibbs free energy of reaction	R_BPNT	kJ/mol		-0.2479	R00188
Gibbs free energy of reaction	R_PAPSR	kJ/mol		-0.2479	R02021
Gibbs free energy of reaction	R_ASPK	kJ/mol		-0.2479	R00480
Gibbs free energy of reaction	R_ASAD	kJ/mol	0.2479		R02291
Gibbs free energy of reaction	R_DAPDC	kJ/mol		-0.2479	R00451
Gibbs free energy of reaction	R_OCBT	kJ/mol		-0.2479	R01398
Gibbs free energy of reaction	R_GARFT	kJ/mol		-0.2479	R04325
Gibbs free energy of reaction	R_PHETA1	kJ/mol	0.2479		R00694
Gibbs free energy of reaction	R_PPND	kJ/mol		-0.2479	R01728
Gibbs free energy of reaction	R_PRAMPC	kJ/mol		-0.2479	R04037
Gibbs free energy of reaction	R_GLYCK2	kJ/mol			R08572
Gibbs free energy of reaction	R_ACOTA	kJ/mol	0.2479		R02283
Gibbs free energy of reaction	R_SULR	kJ/mol		-0.2479	R00858
Gibbs free energy of reaction	R_PRAGSr	kJ/mol		-0.2479	R04144
Gibbs free energy of reaction	R_PRFGS	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_PSERT	kJ/mol		-0.2479	R04173
Gibbs free energy of reaction	R_AIRC2	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_GAPD	kJ/mol		-0.2479	R01061
Gibbs free energy of reaction	R_GND	kJ/mol		-0.2479	R01528
Gibbs free energy of reaction	R_G6PDH2r	kJ/mol		-0.2479	R00835
Gibbs free energy of reaction	R_ME2	kJ/mol		-0.2479	R00216
Gibbs free energy of reaction	R_ARGSL	kJ/mol		-0.2479	R01086
Gibbs free energy of reaction	R_CBPS	kJ/mol		-0.2479	R00575
Gibbs free energy of reaction	R_GLU5K	kJ/mol		-0.2479	R00239
Gibbs free energy of reaction	R_IPPS	kJ/mol		-0.2479	R01213
Gibbs free energy of reaction	R_PSP_L	kJ/mol		-0.2479	R00582
Gibbs free energy of reaction	R_ADSK	kJ/mol		-0.2479	R00509
Gibbs free energy of reaction	R_HSDy	kJ/mol	0.2479		R01775
Gibbs free energy of reaction	R_CYSTL	kJ/mol		-0.2479	R01286
Gibbs free energy of reaction	R_SHSL1	kJ/mol		-0.2479	R03260
Gibbs free energy of reaction	R_TKT2	kJ/mol		-0.2479	R01830
Gibbs free energy of reaction	R_ATPS4rpp	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_CYTBDpp	kJ/mol			
Gibbs free energy of reaction	R_METS	kJ/mol		-0.2479	R00946
Gibbs free energy of reaction	R_PRASCSi	kJ/mol		-0.2479	R04591
Gibbs free energy of reaction	R_MTHFC	kJ/mol		-0.2479	R01655
Gibbs free energy of reaction	R_MTHFD	kJ/mol		-0.2479	R01220
Gibbs free energy of reaction	R_ACGK	kJ/mol		-0.2479	R02649
Gibbs free energy of reaction	R_GNK	kJ/mol			R01737
Gibbs free energy of reaction	R_GLUDy	kJ/mol	0.2479		R00248
Gibbs free energy of reaction	R_HSTPT	kJ/mol		-0.2479	R03243
Gibbs free energy of reaction	R_THDPS	kJ/mol		-0.2479	R04365
Gibbs free energy of reaction	R_ATPM	kJ/mol		-0.2479	R00086
Gibbs free energy of reaction	R_THRD_L	kJ/mol		-0.2479	R00996
Gibbs free energy of reaction	R_RNDR2	kJ/mol		-0.2479	R02019
Gibbs free energy of reaction	R_DHFR	kJ/mol		-0.2479	R00939
Gibbs free energy of reaction	R_PRAIi	kJ/mol		-0.2479	R03509
Gibbs free energy of reaction	R_TYRTA	kJ/mol	0.2479		R00734
Gibbs free energy of reaction	R_SHKK	kJ/mol		-0.2479	R02412
Gibbs free energy of reaction	R_GLUSy	kJ/mol			R00114
Gibbs free energy of reaction	R_OMCDC	kJ/mol		-0.2479	R01652
Gibbs free energy of reaction	R_IG3PS	kJ/mol		-0.2479	R04558
Gibbs free energy of reaction	R_PDH	kJ/mol		-0.2479	R00209
Gibbs free energy of reaction	R_MTHFR2	kJ/mol		-0.2479	R07168
Gibbs free energy of reaction	R_DUTPDP	kJ/mol		-0.2479	R02100
Gibbs free energy of reaction	R_NTP5	kJ/mol			R00569
Gibbs free energy of reaction	R_GLNS	kJ/mol		-0.2479	R00253
Gibbs free energy of reaction	R_ACGS	kJ/mol		-0.2479	R00259
Gibbs free energy of reaction	R_SUCOAS	kJ/mol		-0.2479	R00405
Gibbs free energy of reaction	R_PRAIS	kJ/mol		-0.2479	
Gibbs free energy of reaction	R_HISTP	kJ/mol		-0.2479	R03013
Gibbs free energy of reaction	R_LDH_D	kJ/mol			R00704
Gibbs free energy of reaction	R_DHQS	kJ/mol		-0.2479	R03083
Gibbs free energy of reaction	R_PGCD	kJ/mol		-0.2479	R01513
